Timestamp,Temperatura,Umidade,pH,Fósforo,Potássio,IrrigaçãoOn,sensor_id
11/13/2024 23:08,5,61,3,0,0,0,
11/13/2024 23:08,5,61,3,0,0,0,
11/13/2024 23:08,5,61,3,0,0,0,
11/13/2024 23:08,5,61,8,0,0,0,
11/13/2024 23:08,5,61,8,0,0,0,
11/13/2024 23:08,5,61,8,0,0,0,
11/13/2024 23:08,5,61,8,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
11/13/2024 23:08,5,61,13,0,0,0,
